                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.0963,                0.72004,                 1.0787,                 0.8367,                0.75946,                0.79415,                0.50018,                 1.4597,                  1.098,                 1.3127,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1751,                0.78877,                 1.2102,                0.85993,                0.74074,                0.79737,                0.44156,                 1.7196,                 1.2166,                  1.463,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.1304,                0.71467,                 1.1182,                 0.8592,                0.67842,                0.75968,                  0.445,                  1.719,                 1.1969,                 1.4961,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1813,                0.74205,                 1.1626,                0.76332,                 0.7037,                 0.7095,                0.44143,                 1.5952,                 1.2092,                 1.5194,               0.000713,               0.000713,               0.000713
                     68,                 1.0509,                0.72799,                 1.1049,                0.72828,                0.69513,                0.74932,                0.46132,                 1.5193,                  1.207,                 1.4897,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.1414,                0.81402,                 1.2063,                0.85227,                0.62963,                0.72756,                0.43016,                 1.5897,                 1.1468,                 1.4937,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.0585,                0.73072,                 1.1068,                0.83695,                0.66667,                0.75233,                0.39611,                 1.6904,                 1.1381,                 1.4995,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.0431,                0.72526,                 1.1395,                0.88682,                 0.7037,                 0.7645,                 0.4283,                 1.6451,                 1.0592,                 1.5207,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1006,                0.70971,                 1.0851,                0.91688,                0.66667,                0.77788,                0.46889,                 1.5573,                 1.0971,                 1.4323,               0.000614,               0.000614,               0.000614
                     73,                  1.084,                0.71961,                  1.157,                0.90398,                 0.6976,                0.77807,                0.47404,                 1.5696,                 1.1092,                 1.4797,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1583,                0.76758,                 1.1626,                0.85506,                0.66667,                0.75257,                0.44938,                 1.5611,                 1.1681,                 1.4809,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.0257,                0.71197,                  1.068,                0.75724,                0.66667,                 0.7178,                0.41425,                 1.5785,                 1.2187,                 1.4745,              0.0005546,              0.0005546,              0.0005546
                     76,                 0.9767,                 0.6831,                 1.0977,                0.77311,                0.66667,                0.74041,                0.40489,                 1.6311,                 1.1467,                 1.4125,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.0971,                0.67664,                 1.1278,                0.81327,                0.66667,                0.77192,                0.43439,                 1.6021,                 1.1278,                 1.3744,               0.000515,               0.000515,               0.000515
                     78,                 1.0921,                0.66748,                 1.0938,                0.84575,                0.66667,                0.78746,                0.48484,                 1.4594,                 1.0949,                 1.3147,              0.0004952,              0.0004952,              0.0004952
                     79,                0.98022,                0.64276,                  1.067,                0.85247,                0.66667,                0.81103,                0.53282,                 1.3674,                 1.0846,                 1.2526,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.0167,                0.64616,                 1.1166,                0.82887,                0.66667,                0.79669,                0.52078,                 1.3684,                 1.1492,                  1.247,              0.0004556,              0.0004556,              0.0004556
                     81,                0.99974,                0.61949,                 1.0679,                0.80376,                0.66667,                0.76926,                 0.4693,                 1.4178,                 1.1648,                 1.2766,              0.0004358,              0.0004358,              0.0004358
